id,title,chapter_id,type,difficulty,estimated_time,required_hardware,required_software,instructions_file,starter_code,dataset,solution_status,learning_objectives,grading_notes,visibility,notes
EX06A,Concept check for Chapter 06,06,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX06B,Research design exercise for Chapter 06,06,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX07A,Concept check for Chapter 07,07,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX07B,Research design exercise for Chapter 07,07,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX08A,Concept check for Chapter 08,08,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX08B,Research design exercise for Chapter 08,08,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX09A,Concept check for Chapter 09,09,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX09B,Research design exercise for Chapter 09,09,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX10A,Concept check for Chapter 10,10,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX10B,Research design exercise for Chapter 10,10,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX11A,Concept check for Chapter 11,11,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX11B,Research design exercise for Chapter 11,11,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX12A,Concept check for Chapter 12,12,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX12B,Research design exercise for Chapter 12,12,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX13A,Concept check for Chapter 13,13,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX13B,Research design exercise for Chapter 13,13,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX14A,Concept check for Chapter 14,14,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX14B,Research design exercise for Chapter 14,14,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX15A,Concept check for Chapter 15,15,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX15B,Research design exercise for Chapter 15,15,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX16A,Concept check for Chapter 16,16,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX16B,Research design exercise for Chapter 16,16,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX17A,Concept check for Chapter 17,17,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX17B,Research design exercise for Chapter 17,17,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX18A,Concept check for Chapter 18,18,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX18B,Research design exercise for Chapter 18,18,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX19A,Concept check for Chapter 19,19,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX19B,Research design exercise for Chapter 19,19,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX20A,Concept check for Chapter 20,20,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX20B,Research design exercise for Chapter 20,20,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX21A,Concept check for Chapter 21,21,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX21B,Research design exercise for Chapter 21,21,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX22A,Concept check for Chapter 22,22,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX22B,Research design exercise for Chapter 22,22,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX23A,Concept check for Chapter 23,23,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX23B,Research design exercise for Chapter 23,23,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
EX24A,Concept check for Chapter 24,24,conceptual,graduate,20 min,none,none,,,,instructor-draft,Apply chapter concepts to a new haptic system.,"Assess conceptual correctness, assumptions, and terminology.",private,Prompt included in chapter text.
EX24B,Research design exercise for Chapter 24,24,research-design,advanced,45 min,none,none,,,,not-written,Translate the chapter into a measurable research plan.,"Assess feasibility, variables, controls, and validation.",private,Prompt included in chapter text.
