term,short_definition,full_definition,chapter_first_used,related_terms,equation,symbol,source_reference_ids,status,notes
Frequency response,Output magnitude and phase as a function of input frequency.,"A system characterization showing how sensors, actuators, or complete haptic devices transform sinusoidal inputs across frequency.",06,bandwidth|resonance,,,,draft,
Haptic rendering,Computation of haptic output from an interactive model.,"The real-time process that estimates contact and object behaviour, then generates commands for a haptic device.",11,collision detection|servo loop,,,,draft,
Haptics,Science and engineering of touch-mediated perception and interaction.,"The interdisciplinary study and design of systems through which people perceive, communicate, or act using tactile, kinesthetic, proprioceptive, thermal, and related bodily information.",01,touch|tactile|kinesthetic,,,,draft,
Impedance,Relationship between motion and force.,"Mechanical impedance describes how a system resists motion; in control, impedance methods map displacement or velocity error to force.",05,admittance|stiffness|damping,,,,draft,
Impedance control,Control that maps motion error to force.,A haptic control architecture that specifies a target dynamic relationship between position or velocity and interaction force.,10,admittance control|virtual coupling,,,,draft,
Just-noticeable difference,Smallest reliably discriminable change in a stimulus.,"A difference threshold, usually defined at a selected correct-response level on a psychometric function.",03,Weber fraction|detection threshold,,,,draft,
Kinesthetic perception,"Perception of force, position, and movement of limbs.","Information arising primarily from muscles, tendons, joints, and large-scale skin deformation that contributes to movement and force perception.",01,cutaneous perception|proprioception,,,,draft,
Latency,Delay between an event and the corresponding system response.,Elapsed time from sensing or user action to rendered output; delay can reduce realism and destabilize closed-loop haptic systems.,07,sampling|stability,,,,draft,
Magnitude estimation,Psychophysical method using numerical estimates of perceived strength.,A scaling procedure in which participants assign numbers proportional to the apparent intensity or quality of stimuli.,03,psychophysics|Stevens power law,,,,draft,
Mechanoreceptor,Sensory receptor responsive to mechanical deformation.,"A receptor that transduces indentation, stretch, vibration, force, or motion into neural activity.",02,afferent|receptive field,,,,draft,
Multisensory integration,Combination of information from multiple sensory modalities.,"The process by which the nervous system combines visual, auditory, tactile, proprioceptive, and other signals, often weighting them by reliability and context.",04,crossmodal|co-registration,,,,draft,
Passive touch,Touch produced without deliberate exploratory movement.,"Tactile stimulation delivered to a relatively stationary body location, typically with reduced contribution from self-generated motor commands.",01,active touch,,,,draft,
Passivity,Property of a system that cannot generate net energy.,An energy-based condition used in haptic control to reason about stability when a device interacts with a user and virtual environment.,11,stability|virtual coupling,,,,draft,
Phantom sensation,Percept located between or away from physical tactors.,A spatial tactile percept created by simultaneous or patterned stimulation at multiple skin locations.,04,apparent tactile motion,,,,draft,
Proprioception,Sense of body position and movement.,"Somatosensory information about limb configuration, muscle state, and movement, derived from muscle, tendon, joint, and cutaneous cues.",02,kinesthesia|somatosensation,,,,draft,
Psychometric function,Relationship between stimulus magnitude and response probability.,A fitted curve used to estimate thresholds, sensitivity, and discrimination performance from psychophysical data.,03,threshold|2AFC,,,,draft,
Psychophysics,Quantitative study of relations between physical stimuli and perception.,"Methods and models for measuring detection, discrimination, perceived magnitude, and decision behaviour.",03,JND|signal detection theory,,,,draft,
Receptive field,Region where stimulation changes a sensory neuron’s activity.,"The spatial area of skin, muscle, or another sensory surface associated with a particular afferent or neuron.",02,spatial acuity|mechanoreceptor,,,,draft,
Resonance,Large response near a system’s natural frequency.,A frequency-dependent amplification that occurs when periodic input couples strongly to a mechanical or electrical mode.,06,frequency response|damping,,,,draft,
Sensory saltation,Tactile illusion in which discrete stimuli appear to jump across the skin.,A spatiotemporal illusion where a sequence delivered at a few physical locations is perceived at intermediate positions.,04,apparent tactile motion,,,,draft,
Servo loop,Repeated sensing-computation-actuation cycle.,"A real-time control loop that updates haptic forces or tactile commands, often at a substantially higher rate than the graphics loop.",11,sampling rate|latency,,,,draft,
Signal detection theory,Framework separating sensitivity from decision bias.,"A model that describes detection and discrimination using distributions of internal responses, producing measures such as d-prime and criterion.",03,response bias|psychophysics,,,,draft,
Spatial acuity,Ability to resolve nearby tactile locations or patterns.,"Perceptual spatial resolution, which depends on body site, receptor density, stimulus type, and task.",02,receptive field|two-point discrimination,,,,draft,
Stiffness,Change in force per unit displacement.,"For a linear spring, stiffness k relates force and displacement by F = kx; perceived stiffness also depends on dynamics and exploration.",05,compliance|Hooke law,,,,draft,
Tactile,Relating to sensations primarily arising at the skin.,"A term often used for cutaneous feedback such as vibration, pressure, skin stretch, friction modulation, or temperature.",01,cutaneous perception|haptics,,,,draft,
Teleoperation,Remote control with sensory feedback.,"Interaction in which a human commands a distant robot or system and receives visual, auditory, haptic, or other feedback from the remote environment.",20,bilateral control|model mediation,,,,draft,
Thermal haptics,Use of heating or cooling as interactive feedback.,"Haptic interfaces that control skin temperature or heat flow to convey material, event, affective, or environmental information.",01,cutaneous perception,,,,draft,
Two-alternative forced choice,Task requiring selection between two alternatives.,A psychophysical procedure in which the observer chooses which of two intervals or stimuli contains a target or has a greater attribute.,03,psychometric function|staircase,,,,draft,
Virtual coupling,Compliant connection between a device and virtual proxy.,A spring-damper or related dynamic element inserted between the physical haptic interface and virtual object to improve stability and manage constraints.,11,passivity|proxy,,,,draft,
Weber fraction,Ratio of JND to reference magnitude.,"A normalized discrimination measure, ΔI/I, that is approximately constant over some stimulus ranges but not universally.",03,JND|Weber law,,,,draft,
